date,time,temp (c),pressure,humidity,gas
07/30/2023,09:21:35,-124.281328125,1162.9576257928948,100,242654
07/30/2023,09:21:35,27.86828125,1013.8538931422654,37.051852665212905,3617
07/30/2023,09:22:03,27.920234375,1013.8532285470565,37.144789391204064,2937
07/30/2023,09:22:04,21.1192578125,10960.163457950148,36.458410111220154,2878
07/30/2023,09:22:04,-124.281328125,1162.9576257928948,100,242654
07/30/2023,09:22:04,21.35734375,10950.993149612517,36.49293759770128,2849
07/30/2023,09:23:33,-124.281328125,1162.9576257928948,100,242654
07/30/2023,09:23:33,-92.9205859375,22355.179633765685,100,242654
07/30/2023,09:23:33,117.1255078125,10772.552852224757,0.0,12946860
07/30/2023,09:26:04,-0.621953125,598.7407748258586,0.0,12915663
07/30/2023,09:26:04,-124.281328125,1162.9576257928948,100,242654
07/30/2023,09:26:04,-7.182890625,-18591337.105234176,0.0,18270
07/30/2023,09:26:04,159.44015625,1230.330882804347,0.0,12946860
07/30/2023,09:27:03,29.302265625,1013.7959578044347,37.96391954779298,1507
07/30/2023,09:27:04,34.8716015625,636.4681792409801,38.57783084096746,62783
07/30/2023,09:27:04,29.5596875,1013.766554389809,37.961922610727875,1455
07/30/2023,09:29:03,-124.281328125,1162.9576257928948,100,242654
07/30/2023,09:29:03,160.208125,1229.9533695989173,0.0,12561247
07/30/2023,09:29:04,165.84875,774.3646193797736,0.0,12946860
07/30/2023,09:30:03,-0.47234375,9794.568330600414,0.0,12931242
07/30/2023,09:30:03,-0.6369921875,892.8793692195544,0.0,12931242
07/30/2023,09:30:03,5.820625,1462.896121866136,0.0,18270
07/30/2023,09:30:03,4.328046875,21887.724001885857,0.0,18270
07/30/2023,09:31:03,5.820625,1462.896121866136,0.0,18270
07/30/2023,09:31:04,160.7204296875,1229.7529714075984,0.0,12561247
07/30/2023,09:31:04,161.8493359375,1230.5519280518265,0.0,12561247
07/30/2023,09:31:04,31.0872265625,1013.8400552642141,37.77787247207003,1041
07/30/2023,09:32:03,0.95734375,1396.3395818929064,35.04119335631573,1026
07/30/2023,09:50:04,-0.621953125,598.7407748258586,0.0,12915663
07/30/2023,09:50:04,-130.73015625,706.8798480650588,0,10216056
07/30/2023,09:50:04,6.4274609375,1464.3963007963885,19.77244698999081,242654
07/30/2023,09:50:04,165.2003125,773.7253437139962,0.0,12561247
07/30/2023,09:51:04,0.78,-4914130.419574275,0.0,12915663
07/30/2023,09:51:04,25.889375,5827.693488976065,35.449844658957424,629
07/30/2023,09:51:04,153.7294140625,-165832731.4753566,100,242654
07/30/2023,09:51:05,0.1868359375,10819.012630278059,0.0,612
07/30/2023,09:53:04,-0.47234375,9794.568330600414,0.0,10216056
07/30/2023,09:53:04,-130.08875,1148.0801176656091,100,10240000
07/30/2023,09:53:04,121.9298046875,5743.90567107751,0.0,12946860
07/30/2023,09:53:04,35.1434765625,1013.6975324962044,35.92884279864417,568
07/30/2023,09:53:05,35.4501171875,1013.749616041439,35.94368772315357,568
07/30/2023,09:54:03,35.2466015625,1013.6845701714552,35.928013503399654,568
07/30/2023,09:54:04,-130.73015625,706.8798480650588,0,10216056
07/30/2023,09:54:04,0.5133984375,8837.39742634219,0,9756
07/30/2023,09:54:05,35.3243359375,1013.6976689999475,35.8658328594346,568
07/30/2023,09:55:04,35.378046875,1013.6708060127572,35.88911043427452,568
07/30/2023,09:55:04,-130.73015625,706.8798480650588,0,10216056
07/30/2023,09:55:04,121.9298046875,5743.90567107751,0.0,8922
07/30/2023,09:56:04,35.5544140625,1013.690614858146,35.86669382470278,568
07/30/2023,09:56:04,-130.73015625,706.8798480650588,0,10216056
07/30/2023,09:56:04,166.291328125,1227.0510435262,0.0,12561247
07/30/2023,09:57:03,-92.9205859375,22355.179633765685,100,242654
07/30/2023,09:57:03,166.090546875,1227.2207627115554,0.0,12561247
07/30/2023,09:57:03,-130.714921875,470.42308857244296,0,10240000
07/30/2023,09:57:04,-44.42625,-7195508.675472132,30.712080099774266,12561247
07/30/2023,09:57:04,36.2227734375,1013.6932211691108,35.72615413205689,568
07/30/2023,09:58:04,35.9192578125,1013.6884088639232,35.547478790629384,568
07/30/2023,09:58:04,-130.73015625,706.8798480650588,0,10216056
07/30/2023,10:00:04,4.328046875,21887.724001885857,0.0,242654
07/30/2023,10:00:04,-205.65515625,-3181505.5644945623,0.0,12946860
07/30/2023,10:00:04,-130.714921875,470.42308857244296,0,10240000
07/30/2023,10:00:04,153.7294140625,-165832731.4753566,100,18118
07/30/2023,10:00:05,167.1044140625,1226.7309228719841,0.0,12561247
07/30/2023,10:01:03,36.2942578125,1013.7024575564884,34.96645421997253,568
07/30/2023,10:01:04,-124.281328125,1162.9576257928948,100,242654
07/30/2023,10:01:04,167.2481640625,1226.5960792573635,0.0,12561247
07/30/2023,10:02:04,36.323359375,1013.6686689631782,34.82346492379685,568
07/30/2023,10:02:04,-130.73015625,706.8798480650588,0,10216056
07/30/2023,10:02:04,123.2059765625,10538.376061904679,0.0,6517
07/30/2023,10:02:05,36.506171875,1013.6642196511177,34.79572640351962,568
07/30/2023,10:03:04,-124.281328125,1162.9576257928948,100,242654
07/30/2023,10:03:04,121.527265625,1154.906129778597,100,12561247
07/30/2023,10:06:04,-97.2877734375,22278.396188013005,100,10240000
07/30/2023,10:06:04,-130.7350390625,-188.85978236174947,0,7876923
07/30/2023,10:06:04,0.005,21250.785250538647,0.0,12535991
07/30/2023,10:06:04,161.6925,-46719676.64808981,0,12533333
07/30/2023,10:06:04,-46.7934375,-7049357.279459018,29.63329065517788,12561247
07/30/2023,10:07:03,36.843671875,1013.5944890605923,34.503884393148,568
07/30/2023,10:07:04,37.3446484375,1013.6102548119046,34.54988672454894,568
