date,time,lat,lon,altitude,num satelites
07/02/2023,17:46:32,44.580793,-123.27439,,9
07/02/2023,17:47:02,44.580774,-123.274383,,9
07/02/2023,17:47:32,44.580776,-123.274385,,9
07/02/2023,17:48:02,44.580776,-123.274383,65.4,8
07/02/2023,17:48:32,44.580798,-123.274413,,8
07/02/2023,17:49:03,44.580793,-123.274436,64.3,9
07/02/2023,17:49:33,44.580756,-123.274443,,8
07/02/2023,17:50:03,44.58072,-123.274375,,8
07/02/2023,17:50:32,44.580778,-123.274428,,
07/02/2023,17:51:02,44.580773,-123.274371,,8
07/02/2023,17:51:32,44.580806,-123.274351,,8
07/02/2023,17:52:02,44.580851,-123.274418,,8
07/02/2023,17:52:32,44.580863,-123.274418,66.1,8
07/02/2023,17:53:04,44.580881,-123.274473,63.9,8
07/02/2023,17:53:48,44.5809,-123.274423,63.3,8
07/02/2023,17:54:02,44.580798,-123.274425,62.9,8
07/02/2023,17:54:32,44.580845,-123.274398,,8
07/02/2023,17:55:02,44.580843,-123.2744,62.1,8
07/02/2023,17:55:32,44.58078,-123.27438,,8
07/02/2023,17:56:02,44.580781,-123.27438,64.5,8
07/02/2023,17:56:32,44.580751,-123.274378,,
07/02/2023,17:57:03,44.580755,-123.27437,66.4,9
07/02/2023,17:57:33,44.58076,-123.274368,,
07/02/2023,17:58:02,44.580755,-123.274366,66.8,10
07/02/2023,17:58:32,44.580786,-123.27435,,8
07/02/2023,17:59:02,44.580805,-123.274353,,8
07/02/2023,17:59:32,44.580785,-123.27442,69.3,9
07/02/2023,18:00:03,44.580765,-123.274398,,8
07/02/2023,18:00:33,44.580766,-123.274398,69.8,8
07/02/2023,18:01:03,44.580746,-123.274363,,9
07/02/2023,18:01:33,44.580773,-123.274368,,9
07/02/2023,18:02:02,44.580745,-123.27439,,9
07/02/2023,18:02:32,44.580745,-123.274388,70.9,10
07/02/2023,18:03:02,44.580715,-123.274416,,9
07/02/2023,18:03:32,44.580735,-123.274406,,9
07/02/2023,18:04:02,44.580743,-123.274398,,9
07/02/2023,18:04:32,44.580746,-123.2744,74.3,8
07/02/2023,18:05:03,44.580783,-123.274388,,
07/02/2023,18:05:33,44.580783,-123.274393,76.2,9
07/02/2023,18:06:02,44.580723,-123.274351,,9
07/02/2023,18:06:32,44.580695,-123.274453,,9
07/02/2023,18:07:02,44.580674,-123.274441,83.1,9
07/02/2023,18:08:20,44.580681,-123.274358,,9
07/02/2023,18:08:48,44.580726,-123.274373,84.4,5
07/02/2023,18:09:03,44.580743,-123.27444,,9
07/02/2023,18:09:33,44.580703,-123.274358,,9
07/02/2023,18:10:03,44.580723,-123.274353,,9
07/02/2023,18:10:33,44.580683,-123.274271,,9
07/02/2023,18:11:03,44.580661,-123.274351,,9
07/02/2023,18:11:32,44.58071,-123.274536,82.6,5
07/02/2023,18:12:02,44.580646,-123.274545,,
07/02/2023,18:12:32,44.58066,-123.274461,84.8,5
07/02/2023,18:13:03,44.580596,-123.27445,,9
07/02/2023,18:13:33,44.580561,-123.27441,,9
07/02/2023,18:14:03,44.580484,-123.274446,,9
07/02/2023,18:14:33,44.580658,-123.274393,79.5,8
07/02/2023,18:15:03,44.58073,-123.274383,,9
07/02/2023,18:15:32,44.580728,-123.274381,78.8,7
07/02/2023,18:16:02,44.58054,-123.274403,,9
07/02/2023,18:16:32,44.580526,-123.274405,74.4,6
07/02/2023,18:17:03,44.580656,-123.274366,,9
07/02/2023,18:17:33,44.580658,-123.274363,75.0,8
07/02/2023,18:18:03,44.580728,-123.274378,,9
07/02/2023,18:18:32,44.580731,-123.274383,74.5,8
07/02/2023,18:19:02,44.58074,-123.274385,,
07/02/2023,18:19:32,44.580745,-123.274385,75.4,7
07/02/2023,18:20:03,44.58072,-123.274381,,9
07/02/2023,18:20:33,44.580724,-123.274381,74.7,10
07/02/2023,18:21:03,44.580726,-123.274408,,9
07/02/2023,18:21:33,44.58073,-123.274408,,9
07/02/2023,18:22:02,44.580731,-123.274406,74.9,9
07/02/2023,18:22:32,44.58073,-123.274371,77.9,10
07/02/2023,18:23:02,44.580718,-123.27437,,9
07/02/2023,18:23:32,44.580741,-123.27435,76.2,10
07/02/2023,18:24:03,44.580743,-123.27434,,9
07/02/2023,18:24:33,44.580724,-123.274333,,9
07/02/2023,18:25:03,44.580736,-123.274335,,9
07/02/2023,18:25:32,44.580738,-123.274336,76.8,10
07/02/2023,18:26:02,44.580716,-123.274378,77.2,10
07/02/2023,18:26:32,44.58074,-123.274393,,9
07/02/2023,18:27:03,44.580741,-123.274393,77.3,10
07/02/2023,18:27:33,44.580706,-123.274391,78.1,9
07/02/2023,18:28:03,44.580721,-123.274385,,9
07/02/2023,18:28:33,44.58072,-123.274385,77.8,9
07/02/2023,18:29:02,44.580691,-123.27437,,
07/02/2023,18:29:32,44.58069,-123.274371,78.4,9
07/02/2023,18:30:02,44.580681,-123.274373,,9
07/02/2023,18:30:32,44.580683,-123.274375,78.8,9
07/02/2023,18:31:03,44.580695,-123.274386,,9
07/02/2023,18:31:33,44.580716,-123.274375,,12
07/02/2023,18:32:02,44.580713,-123.274376,79.4,8
07/02/2023,18:32:32,44.580671,-123.274316,,9
07/02/2023,18:33:02,44.580671,-123.274321,80.8,7
07/02/2023,18:33:32,44.580674,-123.274345,,9
07/02/2023,18:34:02,44.580668,-123.274351,81.5,7
07/02/2023,18:34:32,44.580661,-123.274351,,9
07/02/2023,18:35:02,44.580653,-123.274355,,9
07/02/2023,18:35:32,44.580651,-123.274356,81.2,9
07/02/2023,18:36:03,44.580653,-123.27438,,9
07/02/2023,18:36:35,44.580678,-123.274375,81.6,8
07/02/2023,18:37:02,44.580676,-123.274385,,9
07/02/2023,18:37:32,44.580663,-123.274386,,9
07/02/2023,18:38:03,44.580671,-123.274375,,9
07/02/2023,18:38:33,44.580663,-123.274373,,9
07/02/2023,18:39:03,44.580673,-123.274355,,9
07/02/2023,18:39:33,44.580668,-123.274358,,9
07/02/2023,18:40:03,44.580668,-123.27436,81.2,7
07/02/2023,18:40:33,44.58065,-123.274383,80.7,9
07/02/2023,18:41:03,44.580643,-123.274355,,9
07/02/2023,18:41:33,44.580653,-123.274368,,9
07/02/2023,18:42:02,44.58065,-123.274368,80.5,9
07/02/2023,18:42:32,44.58056,-123.274353,,9
07/02/2023,18:43:02,44.58067,-123.274265,,9
07/02/2023,18:43:32,44.580723,-123.274131,,9
07/02/2023,18:44:03,44.580718,-123.27414,82.1,8
07/02/2023,18:44:33,44.58062,-123.274371,,9
07/02/2023,18:45:03,44.580621,-123.274373,79.8,8
07/02/2023,18:45:33,44.580606,-123.274355,,9
07/02/2023,18:46:03,44.58066,-123.274373,,9
07/02/2023,18:46:33,44.580618,-123.27441,,9
07/02/2023,18:47:02,44.580625,-123.274395,,
07/02/2023,18:47:32,44.580618,-123.274393,80.7,9
07/02/2023,18:48:03,44.580591,-123.274376,,9
07/02/2023,18:48:32,44.580591,-123.274376,80.4,9
07/02/2023,18:49:03,44.580613,-123.274353,,9
07/02/2023,18:49:33,44.580646,-123.274346,,9
07/02/2023,18:50:03,44.580623,-123.27434,,9
07/02/2023,18:50:32,44.580623,-123.274336,81.0,8
07/02/2023,18:51:02,44.58065,-123.274335,,9
07/02/2023,18:51:32,44.580584,-123.274361,,9
07/02/2023,18:52:02,44.580581,-123.274361,80.5,9
07/02/2023,18:52:33,44.580583,-123.274395,81.8,9
07/02/2023,18:53:03,44.580581,-123.274398,,10
07/02/2023,18:53:33,44.580578,-123.274411,,10
07/02/2023,18:54:03,44.580596,-123.274383,83.1,9
07/02/2023,18:54:33,44.580595,-123.274356,,10
07/02/2023,18:55:02,44.580626,-123.27431,,10
07/02/2023,18:55:33,44.580601,-123.274276,,11
07/02/2023,18:56:02,44.580603,-123.274293,,11
07/02/2023,18:56:32,44.580588,-123.274278,,
07/02/2023,18:57:02,44.580558,-123.274316,,11
07/02/2023,18:57:32,44.580561,-123.274315,78.0,8
07/02/2023,18:58:03,44.580563,-123.274366,,11
07/02/2023,18:58:35,44.580593,-123.274395,78.6,7
07/02/2023,18:59:03,44.580625,-123.274398,,11
07/02/2023,18:59:33,44.580651,-123.274348,,11
07/02/2023,19:00:03,44.580651,-123.274343,78.2,7
07/02/2023,19:00:33,44.580656,-123.274396,,11
07/02/2023,19:01:03,44.580656,-123.27439,,11
07/02/2023,19:01:33,44.580653,-123.274388,78.5,9
07/02/2023,19:02:02,44.58062,-123.274343,,11
07/02/2023,19:02:33,44.580631,-123.27436,,11
07/02/2023,19:03:02,44.580641,-123.274366,,11
07/02/2023,19:03:32,44.58064,-123.274365,77.8,9
07/02/2023,19:04:03,44.580651,-123.27439,,11
07/02/2023,19:04:33,44.58065,-123.274391,78.4,11
07/02/2023,19:05:03,44.580668,-123.27438,,11
07/02/2023,19:05:33,44.580666,-123.274381,78.3,10
07/02/2023,19:06:02,44.580638,-123.274385,,10
07/02/2023,19:06:32,44.580636,-123.274385,78.8,10
07/02/2023,19:07:03,44.580634,-123.27438,,10
07/02/2023,19:07:33,44.580623,-123.27437,,10
07/02/2023,19:08:03,44.580621,-123.274373,79.2,9
07/02/2023,19:08:33,44.580634,-123.274336,,10
07/02/2023,19:09:03,44.580648,-123.274326,,10
07/02/2023,19:09:33,44.580645,-123.274325,,10
07/02/2023,19:10:03,44.58066,-123.274335,,10
07/02/2023,19:10:33,44.580653,-123.274343,,10
07/02/2023,19:11:03,44.580666,-123.274356,78.5,9
07/02/2023,19:11:33,44.58068,-123.27436,,10
07/02/2023,19:12:03,44.58067,-123.274373,78.8,11
07/02/2023,19:12:33,44.580673,-123.274356,,
07/02/2023,19:13:02,44.580673,-123.274358,78.7,11
07/02/2023,19:13:32,44.580673,-123.274365,78.7,11
07/02/2023,19:14:02,44.580693,-123.274376,,10
07/02/2023,19:14:32,44.580686,-123.2744,,10
07/02/2023,19:15:03,44.580673,-123.274376,,10
07/02/2023,19:15:33,0.747301,-123.27441,79.4,10
07/02/2023,19:16:03,44.580638,-123.274376,,10
07/02/2023,19:16:32,44.580636,-123.274375,79.7,11
07/02/2023,19:17:02,44.580645,-123.27433,,10
07/02/2023,19:17:32,44.580658,-123.274346,79.9,12
07/02/2023,19:18:03,44.580655,-123.274341,,9
07/02/2023,19:18:33,44.580661,-123.27434,,9
07/02/2023,19:19:03,44.580668,-123.274338,,9
07/02/2023,19:19:33,44.580676,-123.274343,,9
07/02/2023,19:20:03,44.580673,-123.274356,,9
07/02/2023,19:20:32,44.580674,-123.274356,80.5,9
07/02/2023,19:21:02,44.580656,-123.274395,,9
07/02/2023,19:21:32,44.580648,-123.2744,79.7,11
07/02/2023,19:22:03,44.580658,-123.274411,,9
07/02/2023,19:22:33,44.580658,-123.27441,79.7,11
07/02/2023,19:23:02,44.580655,-123.27441,79.8,11
07/02/2023,19:23:32,44.580663,-123.274388,79.8,10
07/02/2023,19:24:02,44.580666,-123.274378,79.9,11
07/02/2023,19:24:33,44.580676,-123.274373,,9
07/02/2023,19:25:02,44.580681,-123.27436,,9
07/02/2023,19:25:32,44.580685,-123.27437,80.9,11
07/02/2023,19:26:02,44.580674,-123.27438,80.9,11
07/02/2023,19:26:32,44.580661,-123.274388,,9
07/02/2023,19:27:03,44.58066,-123.274388,81.0,12
07/02/2023,19:27:33,44.580663,-123.274386,,9
07/02/2023,19:28:02,44.580665,-123.274385,81.3,12
07/02/2023,19:28:33,44.580653,-123.274383,,
07/02/2023,19:29:02,44.580653,-123.274381,81.5,11
07/02/2023,19:29:32,44.580676,-123.274348,,10
07/02/2023,19:30:02,44.580676,-123.27435,81.3,10
07/02/2023,19:30:32,44.580603,-123.274335,80.3,11
07/02/2023,19:31:03,44.5806,-123.274286,,
07/02/2023,19:31:33,44.580598,-123.274283,79.4,12
07/02/2023,19:32:03,44.580633,-123.274341,,10
07/02/2023,19:32:32,44.580634,-123.274345,78.8,10
07/02/2023,19:33:02,44.580658,-123.274348,,10
07/02/2023,19:33:32,44.580658,-123.274346,78.8,11
07/02/2023,19:34:03,44.580633,-123.274373,,10
07/02/2023,19:34:33,44.580605,-123.274396,,10
07/02/2023,19:35:03,44.580605,-123.274398,79.4,10
07/02/2023,19:35:33,44.580578,-123.2744,,10
07/02/2023,19:36:03,44.580575,-123.27439,,10
07/02/2023,19:36:32,44.58058,-123.274388,78.9,10
07/02/2023,19:37:02,44.580588,-123.274393,,10
07/02/2023,19:37:32,44.580596,-123.2744,79.6,11
07/02/2023,19:38:03,44.580593,-123.274381,,10
07/02/2023,19:38:33,44.580583,-123.274365,79.6,9
07/02/2023,19:39:03,44.580584,-123.274356,,10
07/02/2023,19:39:32,44.580584,-123.274358,79.5,11
07/02/2023,19:40:02,44.580588,-123.274345,,10
07/02/2023,19:40:32,44.580588,-123.274345,79.3,11
07/02/2023,19:41:03,44.580601,-123.274345,,10
07/02/2023,19:41:33,44.580601,-123.274345,78.9,11
07/02/2023,19:42:03,44.580615,-123.274343,,10
07/02/2023,19:42:33,44.580623,-123.274335,,10
07/02/2023,19:43:03,44.580633,-123.274333,,10
07/02/2023,19:43:33,44.58063,-123.274318,78.6,12
07/02/2023,19:44:02,44.580631,-123.274313,79.0,10
07/02/2023,19:44:32,44.580645,-123.274303,78.9,11
07/02/2023,19:45:02,44.58063,-123.274286,,10
07/02/2023,19:45:32,44.58063,-123.274285,78.9,11
07/02/2023,19:46:03,44.580616,-123.274283,,10
07/02/2023,19:46:33,44.580616,-123.274285,78.8,11
07/02/2023,19:47:03,44.58062,-123.274275,,10
07/02/2023,19:47:33,44.580611,-123.27426,,10
07/02/2023,19:48:02,44.580611,-123.27426,78.0,11
07/02/2023,19:48:32,44.58062,-123.274231,,10
07/02/2023,19:49:02,44.580615,-123.274238,,10
07/02/2023,19:49:32,44.580615,-123.274238,75.0,11
07/02/2023,19:50:03,44.580598,-123.274238,,10
07/02/2023,19:50:33,44.580598,-123.274238,75.4,11
07/02/2023,19:51:03,44.580605,-123.27425,,10
07/02/2023,19:51:33,44.580615,-123.274256,,10
07/02/2023,19:52:02,44.58062,-123.274263,,10
07/02/2023,19:52:32,44.58062,-123.274265,75.9,11
07/02/2023,19:53:02,44.580636,-123.274286,,10
07/02/2023,19:53:32,44.58062,-123.274291,,10
07/02/2023,19:54:03,44.580625,-123.2743,,10
07/02/2023,19:54:33,44.58062,-123.274316,,10
07/02/2023,19:55:02,44.580621,-123.274315,75.8,12
07/02/2023,19:55:32,44.580636,-123.274266,,
07/02/2023,19:56:02,44.580634,-123.274268,74.9,11
07/02/2023,19:56:32,44.580645,-123.274298,76.7,14
07/02/2023,19:57:03,44.580668,-123.274306,,10
07/02/2023,19:57:33,44.58067,-123.274306,76.5,14
07/02/2023,19:58:03,44.580674,-123.274331,,10
07/02/2023,19:58:33,44.580663,-123.27433,76.3,13
07/02/2023,19:59:02,44.580651,-123.274325,76.8,12
07/02/2023,19:59:32,44.580651,-123.274315,,10
07/02/2023,20:00:02,44.580655,-123.274331,,10
07/02/2023,20:00:32,44.58067,-123.274318,,10
07/02/2023,20:01:03,44.580671,-123.274331,,10
07/02/2023,20:01:33,44.580666,-123.274335,,
07/02/2023,20:02:02,44.580666,-123.274335,77.2,12
07/02/2023,20:02:32,44.58067,-123.274358,76.9,12
