date,time,lat,lon,altitude,num satellites
07/06/2023,00:00:03,44.580663,-123.274353,,
07/06/2023,00:00:33,44.58067,-123.274355,100.3,9
07/06/2023,00:01:02,44.580731,-123.274375,,8
07/06/2023,00:01:32,44.580701,-123.27434,,8
07/06/2023,00:02:02,44.580703,-123.274335,98.8,11
07/06/2023,00:02:32,44.580731,-123.274336,,8
07/06/2023,00:03:03,44.580726,-123.274338,101.2,11
07/06/2023,00:03:35,44.580738,-123.274326,99.7,12
07/06/2023,00:04:03,44.58072,-123.274333,100.1,11
07/06/2023,00:04:33,44.580708,-123.274343,,8
07/06/2023,00:05:02,44.580706,-123.274343,99.4,12
07/06/2023,00:05:32,44.580705,-123.274363,,8
07/06/2023,00:06:02,44.580713,-123.27435,,8
07/06/2023,00:06:32,44.580711,-123.274348,100.6,9
07/06/2023,00:07:03,44.580698,-123.27435,,8
07/06/2023,00:07:33,44.580695,-123.274346,101.7,10
07/06/2023,00:08:02,44.58065,-123.274346,,8
07/06/2023,00:08:32,44.580646,-123.27435,101.5,12
07/06/2023,00:09:02,44.580625,-123.274338,,8
07/06/2023,00:09:34,44.58061,-123.274283,102.1,12
07/06/2023,00:10:02,44.58061,-123.274283,,
07/06/2023,00:10:32,44.580606,-123.274228,101.4,12
07/06/2023,00:11:03,44.580615,-123.274223,,8
07/06/2023,00:11:33,44.580656,-123.274275,,8
07/06/2023,00:12:03,44.58066,-123.274269,102.3,14
07/06/2023,00:12:33,44.580633,-123.274298,,8
07/06/2023,00:13:02,44.580653,-123.27432,,8
07/06/2023,00:13:32,44.580658,-123.274321,99.7,14
07/06/2023,00:14:02,44.5807,-123.274436,95.6,14
07/06/2023,00:14:32,44.580681,-123.274413,,8
07/06/2023,00:15:02,44.580685,-123.274415,96.2,13
07/06/2023,00:15:32,44.580645,-123.274335,,8
07/06/2023,00:16:03,44.580645,-123.274336,98.1,13
07/06/2023,00:16:33,44.580696,-123.274333,,8
07/06/2023,00:17:03,44.58071,-123.274341,,8
07/06/2023,00:17:33,44.580711,-123.274338,96.1,13
07/06/2023,00:18:02,44.580724,-123.27431,,8
07/06/2023,00:18:32,44.580724,-123.27431,95.6,14
07/06/2023,00:19:02,44.580741,-123.2743,,8
07/06/2023,00:19:32,44.580731,-123.274269,,8
07/06/2023,00:20:03,44.580735,-123.274268,95.7,11
07/06/2023,00:20:33,44.580728,-123.274293,,8
07/06/2023,00:21:03,44.580721,-123.274291,95.9,13
07/06/2023,00:21:33,44.580703,-123.274258,,8
07/06/2023,00:22:02,44.580721,-123.274281,,8
07/06/2023,00:22:32,44.580723,-123.274283,96.0,13
07/06/2023,00:23:02,44.580735,-123.274308,,8
07/06/2023,00:23:32,44.580735,-123.27432,,8
07/06/2023,00:24:03,44.580718,-123.274333,,
07/06/2023,00:24:33,44.580718,-123.274335,100.8,13
07/06/2023,00:25:02,44.580738,-123.274308,,8
07/06/2023,00:25:32,44.580766,-123.274333,,8
07/06/2023,00:26:02,44.580766,-123.274331,99.3,12
07/06/2023,00:26:32,44.58076,-123.274355,,8
07/06/2023,00:27:03,44.58073,-123.27433,,8
07/06/2023,00:27:33,44.580731,-123.274333,98.9,14
07/06/2023,00:28:03,44.580686,-123.27435,,8
07/06/2023,00:28:33,44.580685,-123.274353,101.5,13
07/06/2023,00:29:02,44.580676,-123.274361,,8
07/06/2023,00:29:32,44.580646,-123.274343,,8
07/06/2023,00:30:03,44.580628,-123.274345,,8
07/06/2023,00:30:33,44.580628,-123.274341,105.0,13
