date,time,temp (c),pressure (),hummidity,altitude
03/19/2023,20:27:35,16.544821858968135,972.69727954644,51.93831177542786,343.22660086176245
03/19/2023,20:27:49,16.546079279505648,972.706003236729,51.884354058487716,343.1515301823783
03/19/2023,20:27:55,16.54702234492072,972.7159128675268,51.79798414649586,343.0662546943308
03/19/2023,20:27:57,16.548279765490065,972.7078023703014,51.830426242416195,343.13604802017875
03/19/2023,20:27:59,16.541678307703933,972.7040883572039,51.91120808427233,343.1680084037241
03/19/2023,21:17:25,16.36218171909661,972.871052531396,51.99161678977737,341.73132082030423
03/19/2023,21:19:18,16.468119240576925,972.9159004645345,51.92496683249039,341.345448883239160
03/19/2023,21:27:54,16.46026036956448,972.8596961874339,52.03268155350537,341.8290331702025
03/19/2023,21:28:41,16.431968439802972,972.9024324779052,52.17748744297922,341.46132602323513
03/19/2023,21:28:50,16.41907989707579,972.8988593638592,52.18784784386757,341.4920689385684
